relative_support,elapsed_time
0.3,1609688376.9195385
0.5,1609688376.706927
1.0,1609688376.400712
1.5,1609688376.3264132
2.0,1609688376.2585857
2.5,1609688376.2066033
3.0,1609688376.1476188
