relative_support,elapsed_time
0.3,1618434556.4730065
0.5,1618434557.187344
1.0,1618434562.7923896
1.5,1618434552.511955
2.0,1618434554.7625983
2.5,1618434552.9634988
3.0,1618434549.1296685
