relative_support,elapsed_time
0.3,1609665960.5272558
0.5,1609665960.5272505
1.0,1609665960.5272508
1.5,1609665960.5272503
2.0,1609665960.5272503
2.5,1609665960.5272503
3.0,1609665960.5272503
