relative_support,elapsed_time
0.3,1609667210.8365023
0.5,1609666974.799263
1.0,1609666781.4465714
1.5,1609666721.0484788
2.0,1609666704.9340706
2.5,1609666695.4718134
3.0,1609666690.3878841
